192.168.1.1 - - [10/May/2024:10:00:00 +0000] "GET /index.html HTTP/1.1" 200 1234
192.168.1.2 - - [10/May/2024:10:00:01 +0000] "GET /image.jpg HTTP/1.1" 200 5678
192.168.1.3 - - [10/May/2024:10:00:02 +0000] "GET /missing.html HTTP/1.1" 404 123
192.168.1.1 - - [10/May/2024:10:00:03 +0000] "POST /submit HTTP/1.1" 200 50
192.168.1.4 - - [10/May/2024:10:00:04 +0000] "GET /another_missing.php HTTP/1.1" 404 150
192.168.1.5 - - [10/May/2024:10:00:05 +0000] "GET /styles.css HTTP/1.1" 200 999
192.168.1.3 - - [10/May/2024:10:00:06 +0000] "GET /notfound.txt HTTP/1.1" 404 100
192.168.1.6 - - [10/May/2024:10:01:00 +0000] "GET /home HTTP/1.1" 200 2048
192.168.1.7 - - [10/May/2024:10:01:01 +0000] "GET /admin HTTP/1.1" 403 50
192.168.1.8 - - [10/May/2024:10:01:02 +0000] "GET /data.json HTTP/1.1" 200 1024
192.168.1.9 - - [10/May/2024:10:01:03 +0000] "GET /secret/file HTTP/1.1" 404 90
192.168.1.10 - - [10/May/2024:10:05:00 +0000] "GET /resource HTTP/1.1" 500 80
192.168.1.11 - - [10/May/2024:10:05:01 +0000] "GET /oops_a_404_here HTTP/1.1" 404 110
192.168.1.12 - - [10/May/2024:10:05:02 +0000] "GET /path/to/file.ext HTTP/1.1" 200 12345
192.168.1.13 - - [10/May/2024:10:05:03 +0000] "GET /errorpage HTTP/1.1" 503 70
192.168.1.14 - - [10/May/2024:10:05:04 +0000] "GET /no/such/page HTTP/1.1" 404 130
192.168.1.15 - - [10/May/2024:10:05:05 +0000] "GET / HTTP/1.1" 200 3000
192.168.1.16 - - [10/May/2024:10:05:06 +0000] "PUT /update HTTP/1.1" 200 45
192.168.1.17 - - [10/May/2024:10:05:07 +0000] "DELETE /item HTTP/1.1" 200 30
192.168.1.18 - - [10/May/2024:10:05:08 +0000] "GET /some/other/resource HTTP/1.1" 401 60
192.168.1.19 - - [10/May/2024:10:05:09 +0000] "GET /login HTTP/1.1" 200 780
192.168.1.20 - - [10/May/2024:10:05:10 +0000] "GET /special_404_page HTTP/1.1" 404 200192.168.1.1 - - [10/May/2024:10:00:00 +0000] "GET /index.html HTTP/1.1" 200 1234
192.168.1.2 - - [10/May/2024:10:00:01 +0000] "GET /image.jpg HTTP/1.1" 200 5678
192.168.1.3 - - [10/May/2024:10:00:02 +0000] "GET /missing.html HTTP/1.1" 404 123
192.168.1.1 - - [10/May/2024:10:00:03 +0000] "POST /submit HTTP/1.1" 200 50
192.168.1.4 - - [10/May/2024:10:00:04 +0000] "GET /another_missing.php HTTP/1.1" 404 150
192.168.1.5 - - [10/May/2024:10:00:05 +0000] "GET /styles.css HTTP/1.1" 200 999
192.168.1.3 - - [10/May/2024:10:00:06 +0000] "GET /notfound.txt HTTP/1.1" 404 100
192.168.1.6 - - [10/May/2024:10:01:00 +0000] "GET /home HTTP/1.1" 200 2048
192.168.1.7 - - [10/May/2024:10:01:01 +0000] "GET /admin HTTP/1.1" 403 50
192.168.1.8 - - [10/May/2024:10:01:02 +0000] "GET /data.json HTTP/1.1" 200 1024
192.168.1.9 - - [10/May/2024:10:01:03 +0000] "GET /secret/file HTTP/1.1" 404 90
192.168.1.10 - - [10/May/2024:10:05:00 +0000] "GET /resource HTTP/1.1" 500 80
192.168.1.11 - - [10/May/2024:10:05:01 +0000] "GET /oops_a_404_here HTTP/1.1" 404 110
192.168.1.12 - - [10/May/2024:10:05:02 +0000] "GET /path/to/file.ext HTTP/1.1" 200 12345
192.168.1.13 - - [10/May/2024:10:05:03 +0000] "GET /errorpage HTTP/1.1" 503 70
